DIM,Task,APPROVAL,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb
EMP_0245,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,155.63,148.5,85.5,60.38,60,66,63,69,0,0,0,0,0,0
Remaining,,,0,0,-5.63,1.5,87,89.63,90,99,94.5,103.5,165,157.5,165,150,157.5,150
Technical,TASK_T0471,Completed,0,0,5.63,21,7.13,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0046,Completed,165,157.5,150,105,69,60,60,66,63,69,0,0,0,0,0,0
Technical,TASK_T0288,Completed,0,0,0,22.5,9.38,0.38,0,0,0,0,0,0,0,0,0,0
EMP_0002,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,46.2,44.1,0,0,0,0,34.97,128.24,122.41,134.07,128.24,122.41,128.24,116.58,122.41,87.44
Remaining,,,118.8,113.4,150,150,172.5,150,115.03,36.76,35.09,38.43,36.76,35.09,36.76,33.42,35.09,62.56
Technical,TASK_T0562,Completed,0,0,0,0,0,0,34.97,128.24,122.41,134.07,128.24,122.41,128.24,116.58,122.41,87.44
Technical,TASK_T0428,Completed,46.2,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0282,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,150,150,172.5,150,150,165,150,172.5,165,0,0,0,0,0
Remaining,,,0,0,0,0,0,0,0,0,7.5,0,0,157.5,165,150,157.5,150
Technical,TASK_T0934,Completed,0,0,0,105,120.75,105,105,115.5,150,172.5,165,0,0,0,0,0
Technical,TASK_T0933,Completed,165,157.5,150,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0518,Completed,0,0,0,45,51.75,45,45,49.5,0,0,0,0,0,0,0,0
EMP_0490,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
