Employee,LEVEL-01,LEVEL-02,LEVEL-03
EMP_0001,DEPT_02,Grade_1.2,LVL_04
EMP_0002,DEPT_03,Grade_1.3,LVL_04
EMP_0003,DEPT_01,Grade_1.3,LVL_03
EMP_0004,DEPT_01,Grade_1.3,LVL_02
EMP_0005,DEPT_02,Grade_1.3,LVL_02
EMP_0006,DEPT_03,Grade_1.3,LVL_01
EMP_0007,DEPT_01,Grade_1.3,LVL_04
EMP_0008,DEPT_03,Grade_1.3,LVL_02
EMP_0009,DEPT_01,Grade_1.3,LVL_03
EMP_0010,DEPT_01,Grade_1.2,LVL_03
EMP_0011,DEPT_03,Grade_1.4,LVL_03
EMP_0012,DEPT_03,Grade_1.3,LVL_03
EMP_0013,DEPT_01,Grade_1.2,LVL_04
EMP_0014,DEPT_02,Grade_1.2,LVL_02
EMP_0015,DEPT_01,Grade_1.3,LVL_03
EMP_0016,DEPT_02,Grade_1.2,LVL_01
EMP_0017,DEPT_02,Grade_1.2,LVL_01
EMP_0018,DEPT_01,Grade_1.3,LVL_03
EMP_0019,DEPT_03,Grade_1.2,LVL_03
EMP_0020,DEPT_03,Grade_1.4,LVL_04
EMP_0021,DEPT_03,Grade_1.4,LVL_02
EMP_0022,DEPT_02,Grade_1.4,LVL_03
EMP_0023,DEPT_01,Grade_1.3,LVL_04
EMP_0024,DEPT_03,Grade_1.2,LVL_03
EMP_0025,DEPT_01,Grade_1.2,LVL_04
EMP_0026,DEPT_03,Grade_1.2,LVL_01
EMP_0027,DEPT_03,Grade_1.2,LVL_03
EMP_0028,DEPT_01,Grade_1.3,LVL_02
EMP_0029,DEPT_02,Grade_1.3,LVL_03
EMP_0030,DEPT_01,Grade_1.3,LVL_02
EMP_0031,DEPT_02,Grade_1.3,LVL_02
EMP_0032,DEPT_02,Grade_1.4,LVL_04
EMP_0033,DEPT_01,Grade_1.2,LVL_01
EMP_0034,DEPT_01,Grade_1.3,LVL_03
EMP_0035,DEPT_01,Grade_1.4,LVL_01
EMP_0036,DEPT_03,Grade_1.2,LVL_01
EMP_0037,DEPT_02,Grade_1.3,LVL_03
EMP_0038,DEPT_02,Grade_1.3,LVL_04
EMP_0039,DEPT_01,Grade_1.4,LVL_02
EMP_0040,DEPT_01,Grade_1.3,LVL_03
EMP_0041,DEPT_01,Grade_1.2,LVL_02
EMP_0042,DEPT_02,Grade_1.4,LVL_04
EMP_0043,DEPT_02,Grade_1.2,LVL_03
EMP_0044,DEPT_02,Grade_1.4,LVL_03
EMP_0045,DEPT_02,Grade_1.3,LVL_03
EMP_0046,DEPT_03,Grade_1.3,LVL_01
