Employee,Cost
EMP_0001,11.15450122
EMP_0002,13.07424216
EMP_0003,5.592189126
EMP_0004,5.09195065
EMP_0005,7.404007889
EMP_0006,8.746742319
EMP_0007,7.266257001
EMP_0008,9.034966147
EMP_0009,5.592189126
EMP_0010,9.234806887
EMP_0011,14.78355332
EMP_0012,7.595735197
EMP_0013,11.75799412
EMP_0014,7.064260668
EMP_0015,5.592189126
EMP_0016,7.887198264
EMP_0017,7.887198264
EMP_0018,5.592189126
EMP_0019,7.71497065
EMP_0020,9.138376727
EMP_0021,5.450710168
EMP_0022,13.00155201
EMP_0023,7.266257001
EMP_0024,7.71497065
EMP_0025,11.75799412
EMP_0026,10.34363574
EMP_0027,7.71497065
EMP_0028,5.09195065
EMP_0029,14.4036382
EMP_0030,5.09195065
EMP_0031,7.404007889
EMP_0032,5.864863447
EMP_0033,10.11514073
EMP_0034,5.592189126
EMP_0035,5.072019591
EMP_0036,10.34363574
EMP_0037,14.4036382
EMP_0038,7.38832083
EMP_0039,6.076105172
EMP_0040,5.592189126
EMP_0041,5.848103943
EMP_0042,5.864863447
EMP_0043,7.435543875
EMP_0044,13.00155201
EMP_0045,14.4036382
EMP_0046,8.746742319
EMP_0047,14.74822519
EMP_0048,13.00155201
EMP_0049,7.38832083
EMP_0050,5.712403877
EMP_0051,5.592189126
EMP_0052,5.592189126
EMP_0053,7.595735197
EMP_0054,5.848103943
EMP_0055,7.887198264
EMP_0056,7.435543875
EMP_0057,6.076105172
EMP_0058,13.07424216
EMP_0059,11.75799412
EMP_0060,5.592189126
EMP_0061,7.435543875
EMP_0062,14.59491431
EMP_0063,9.024729155
EMP_0064,5.072019591
EMP_0065,13.24699305
EMP_0066,9.024729155
EMP_0067,7.38832083
EMP_0068,14.61308375
EMP_0069,7.887198264
EMP_0070,13.07424216
EMP_0071,5.072019591
EMP_0072,7.435543875
EMP_0073,5.864863447
EMP_0074,7.404007889
EMP_0075,9.234806887
EMP_0076,10.11514073
EMP_0077,14.4036382
EMP_0078,14.74822519
EMP_0079,7.887198264
EMP_0080,9.234806887
EMP_0081,10.11514073
EMP_0082,5.712403877
EMP_0083,10.11514073
EMP_0084,13.10748609
EMP_0085,5.450710168
EMP_0086,13.24699305
EMP_0087,14.78355332
EMP_0088,7.404007889
EMP_0089,5.450710168
EMP_0090,7.595735197
EMP_0091,7.38832083
EMP_0092,5.592189126
EMP_0093,7.435543875
EMP_0094,7.064260668
EMP_0095,6.076105172
EMP_0096,5.712403877
EMP_0097,7.887198264
EMP_0098,7.595735197
EMP_0099,7.435543875
EMP_0100,11.75799412
EMP_0101,13.00155201
EMP_0102,5.072019591
EMP_0103,14.74822519
EMP_0104,9.234806887
EMP_0105,11.60855469
EMP_0106,11.60855469
EMP_0107,11.75799412
EMP_0108,13.07424216
EMP_0109,14.78355332
EMP_0110,7.404007889
EMP_0111,8.746742319
EMP_0112,14.78355332
EMP_0113,5.712403877
EMP_0114,7.595735197
EMP_0115,7.266257001
EMP_0116,14.59491431
EMP_0117,14.74822519
EMP_0118,14.79236358
EMP_0119,13.00155201
EMP_0120,13.00155201
EMP_0121,5.072019591
EMP_0122,14.78355332
EMP_0123,5.450710168
EMP_0124,14.4036382
EMP_0125,11.15450122
EMP_0126,11.75799412
EMP_0127,7.887198264
EMP_0128,5.712403877
EMP_0129,11.75799412
EMP_0130,7.064260668
EMP_0131,5.864863447
EMP_0132,9.234806887
EMP_0133,9.034966147
EMP_0134,10.11514073
EMP_0135,7.38832083
EMP_0136,8.746742319
EMP_0137,13.10748609
EMP_0138,13.00155201
EMP_0139,7.064260668
EMP_0140,7.887198264
EMP_0141,9.034966147
EMP_0142,7.71497065
EMP_0143,7.887198264
EMP_0144,13.07424216
EMP_0145,13.00155201
EMP_0146,14.79236358
EMP_0147,7.266257001
EMP_0148,7.404007889
EMP_0149,11.15450122
EMP_0150,13.00155201
EMP_0151,13.10748609
EMP_0152,5.09195065
EMP_0153,13.00155201
EMP_0154,6.076105172
EMP_0155,5.712403877
EMP_0156,13.07424216
EMP_0157,5.712403877
EMP_0158,10.11514073
EMP_0159,10.11514073
EMP_0160,5.09195065
EMP_0161,14.61308375
EMP_0162,9.234806887
EMP_0163,5.864863447
EMP_0164,13.00155201
EMP_0165,7.266257001
EMP_0166,13.10748609
EMP_0167,5.848103943
EMP_0168,5.848103943
EMP_0169,7.064260668
EMP_0170,5.09195065
EMP_0171,14.79236358
EMP_0172,11.60855469
EMP_0173,7.435543875
EMP_0174,11.15450122
EMP_0175,7.266257001
EMP_0176,9.138376727
EMP_0177,5.848103943
EMP_0178,5.592189126
EMP_0179,7.71497065
EMP_0180,5.450710168
EMP_0181,13.00155201
EMP_0182,14.79236358
EMP_0183,7.404007889
EMP_0184,13.10748609
EMP_0185,14.59491431
EMP_0186,13.07424216
EMP_0187,11.60855469
EMP_0188,7.38832083
EMP_0189,5.450710168
EMP_0190,11.75799412
EMP_0191,8.746742319
EMP_0192,14.74822519
EMP_0193,9.034966147
EMP_0194,8.746742319
EMP_0195,7.435543875
EMP_0196,5.848103943
EMP_0197,11.15450122
EMP_0198,7.266257001
EMP_0199,9.138376727
EMP_0200,13.00155201
EMP_0201,7.266257001
