DIM,Task,APPROVAL,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb
EMP_0002,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,46.2,44.1,0,0,0,0,34.97,128.24,122.41,134.07,128.24,122.41,128.24,116.58,122.41,87.44
Remaining,,,118.8,113.4,150,150,172.5,150,115.03,36.76,35.09,38.43,36.76,35.09,36.76,33.42,35.09,62.56
Technical,TASK_T0562,Completed,0,0,0,0,0,0,34.97,128.24,122.41,134.07,128.24,122.41,128.24,116.58,122.41,87.44
Technical,TASK_T0428,Completed,46.2,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0282,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,150,150,172.5,150,150,165,150,172.5,165,0,0,0,0,0
Remaining,,,0,0,0,0,0,0,0,0,7.5,0,0,157.5,165,150,157.5,150
Technical,TASK_T0934,Completed,0,0,0,105,120.75,105,105,115.5,150,172.5,165,0,0,0,0,0
Technical,TASK_T0933,Completed,165,157.5,150,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0518,Completed,0,0,0,45,51.75,45,45,49.5,0,0,0,0,0,0,0,0
EMP_0094,,,,,,,,,,,,,,,,,,
Contracted Hours,,,0,22.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,167.17,189,234.6,186,175.5,16.5,15.75,16.5,0,0,0,0,0,0
Remaining,,,0,22.5,-17.17,-39,-62.1,-36,-25.5,148.5,141.75,156,165,157.5,165,150,157.5,150
Technical,TASK_T0291,Completed,0,0,10.2,12,13.8,2.4,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0572,Completed,0,0,57.38,75,86.25,75,75,0,0,0,0,0,0,0,0,0
Technical,TASK_T0797,Completed,0,0,75,75,86.25,75,75,0,0,0,0,0,0,0,0,0
Technical,TASK_T0196,Completed,0,0,15,15,17.25,15,15,16.5,15.75,16.5,0,0,0,0,0,0
Technical,TASK_T0692,Partial,0,0,9.6,12,31.05,18.6,10.5,0,0,0,0,0,0,0,0,0
EMP_0489,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
