DIM,Task,APPROVAL,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb
EMP_0431,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,178.2,170.1,162,222,186.3,162,162,178.2,170.1,186.3,178.2,170.1,178.2,162,0,0
Remaining,,,-13.2,-12.6,-12,-72,-13.8,-12,-12,-13.2,-12.6,-13.8,-13.2,-12.6,-13.2,-12,157.5,150
Technical,TASK_T0958,Completed,13.2,12.6,12,12,13.8,12,12,13.2,12.6,13.8,13.2,12.6,13.2,12,0,0
Technical,TASK_T0690,Completed,165,157.5,150,150,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0740,Completed,0,0,0,60,30,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0010,Completed,0,0,0,0,142.5,150,150,165,157.5,172.5,165,157.5,165,150,0,0
EMP_0265,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,181.5,168,149.25,189,224.25,195,183.75,57.75,55.13,60.38,57.75,55.13,57.75,52.5,31.5,30
Remaining,,,-16.5,-10.5,0.75,-39,-51.75,-45,-33.75,107.25,102.38,112.13,107.25,102.38,107.25,97.5,126,120
Technical,TASK_T0437,Completed,0,0,0,24,34.5,30,30,33,31.5,34.5,33,31.5,33,30,31.5,30
Technical,TASK_T0477,Completed,0,0,0,7.5,8.63,7.5,7.5,8.25,7.88,8.63,8.25,7.88,8.25,7.5,0,0
Technical,TASK_T0476,Completed,0,0,0,15,17.25,15,15,16.5,15.75,17.25,16.5,15.75,16.5,15,0,0
Technical,TASK_T0729,Completed,14.85,14.17,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0853,Completed,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0844,Completed,112.2,110.25,105,105,120.75,105,105,0,0,0,0,0,0,0,0,0
Technical,TASK_T0398,Completed,11.55,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0426,Completed,41.25,39.38,37.5,37.5,43.13,37.5,26.25,0,0,0,0,0,0,0,0,0
EMP_0004,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,0,0,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0740,Completed,165,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0489,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0657,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,0,0,0,0,0
Remaining,,,0,0,0,0,0,0,0,0,0,0,0,157.5,165,150,157.5,150
Technical,,Completed,165,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0740,Completed,0,0,150,150,172.5,150,150,165,157.5,172.5,165,0,0,0,0,0
EMP_0528,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,169.5,158.63,150,150,172.5,142.5,142.5,107.25,102.38,112.13,0,0,0,0,0,0
Remaining,,,-4.5,-1.13,0,0,0,7.5,7.5,57.75,55.13,60.37,165,157.5,165,150,157.5,150
Technical,TASK_T0847,Completed,107.25,102.38,97.5,97.5,112.13,97.5,97.5,107.25,102.38,112.13,0,0,0,0,0,0
Technical,TASK_T0509,Completed,49.5,47.25,45,45,51.75,45,45,0,0,0,0,0,0,0,0,0
Technical,TASK_T0415,Completed,12.75,9,7.5,7.5,8.63,0,0,0,0,0,0,0,0,0,0,0
EMP_0650,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,198,189,150,198,241.5,210,210,231,220.5,241.5,231,220.5,231,210,220.5,210
Remaining,,,-33,-31.5,0,-48,-69,-60,-60,-66,-63,-69,-66,-63,-66,-60,-63,-60
Technical,TASK_T0437,Completed,0,0,0,48,69,60,60,66,63,69,66,63,66,60,63,60
Technical,TASK_T0704,Completed,33,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,,Completed,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0727,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,173.37,141.86,150.11,153.71,177.8,154.5,154.5,169.95,159.07,174.23,166.65,159.07,166.65,94.5,99.22,94.5
Remaining,,,-8.37,15.64,-0.11,-3.71,-5.3,-4.5,-4.5,-4.95,-1.57,-1.73,-1.65,-1.57,-1.65,55.5,58.28,55.5
Technical,TASK_T0506,Completed,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0437,Completed,0,0,0,3.6,5.17,4.5,4.5,4.95,4.72,5.17,4.95,4.72,4.95,4.5,4.72,4.5
Technical,TASK_T0144,Completed,99,78.75,90,90,103.5,90,90,99,94.5,103.5,99,94.5,99,90,94.5,90
Technical,TASK_T0532,Completed,33,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0989,Completed,33,31.5,60,60,69,60,60,66,59.85,65.55,62.7,59.85,62.7,0,0,0
Technical,TASK_T0986,Completed,0.12,0.11,0.11,0.11,0.12,0,0,0,0,0,0,0,0,0,0,0
EMP_0641,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,75,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,78.75,75
Allocated Hours,,,129.97,139.2,75,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,35.03,18.3,75,75,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,78.75,75
Technical,TASK_T0394,Completed,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0797,Completed,32.63,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0018,Completed,33,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0401,Completed,16.5,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0919,Completed,6.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0740,Completed,0,30,75,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0427,Completed,16.5,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0800,Completed,16.5,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0517,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
