DIM,Task,APPROVAL,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb
EMP_0245,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,155.63,148.5,85.5,60.38,60,66,63,69,0,0,0,0,0,0
Remaining,,,0,0,-5.63,1.5,87,89.63,90,99,94.5,103.5,165,157.5,165,150,157.5,150
Technical,TASK_T0288,Completed,0,0,0,22.5,9.38,0.38,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0471,Completed,0,0,5.63,21,7.13,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0046,Completed,165,157.5,150,105,69,60,60,66,63,69,0,0,0,0,0,0
EMP_0490,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,157.05,156.89,159.68,114.68,125.1,172.5,0,0,0,0,0,0,0,0,0,0
Remaining,,,7.95,0.61,-9.68,35.32,47.4,-22.5,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0064,Completed,33,12,75,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0516,Completed,0,0,0,75,86.25,142.5,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0059,Completed,33,12,30,30,34.5,30,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0781,Completed,8.55,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0740,Completed,33,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0550,Completed,0,6.29,9.68,9.68,4.35,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0133,Completed,49.5,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0265,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,181.5,168,149.25,189,224.25,195,183.75,57.75,55.13,60.38,57.75,55.13,57.75,52.5,31.5,30
Remaining,,,-16.5,-10.5,0.75,-39,-51.75,-45,-33.75,107.25,102.38,112.13,107.25,102.38,107.25,97.5,126,120
